Hostname|CPU (Sockets x Model)|Cores per Socket|Total Cores|CPU Speed (MHz)|Total RAM|Local Disk (/tmp)|Operating System|GPU Type|GPU Count|Infiniband|Controller|SlurmPartitions|SlurmActiveFeatures
gpu34|1 x AMD EPYC 9534 64-Core Processor|64|64|2450|755.228 GB|856G|Red Hat Enterprise Linux|NVIDIA L40|3|No|c4:00.0 Ethernet controller: Broadcom Inc. and subsidiaries BCM57416 NetXtreme-E Dual-Media 10G RDMA Ethernet Controller (rev 01) c4:00.1 Ethernet controller: Broadcom Inc. and subsidiaries BCM57416 NetXtreme-E Dual-Media 10G RDMA Ethernet Controller (rev 01)|ewi-insy;general|avx;avx2;10gbe;bigmem;gpumem32;ssd
gpu35|1 x AMD EPYC 9534 64-Core Processor|64|64|2450|755.228 GB|856G|Red Hat Enterprise Linux|NVIDIA L40|3|No|c4:00.0 Ethernet controller: Broadcom Inc. and subsidiaries BCM57416 NetXtreme-E Dual-Media 10G RDMA Ethernet Controller (rev 01) c4:00.1 Ethernet controller: Broadcom Inc. and subsidiaries BCM57416 NetXtreme-E Dual-Media 10G RDMA Ethernet Controller (rev 01)|bk-ar;general|avx;avx2;10gbe;bigmem;gpumem32;ssd
grs1|2 x Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz|8|16|3499.804|251.633 GB|181G|OpenShift Enterprise|N/A|0|Yes|01:00.0 Ethernet controller: Intel Corporation I350 Gigabit Network Connection (rev 01) 01:00.1 Ethernet controller: Intel Corporation I350 Gigabit Network Connection (rev 01) 03:00.0 Network controller: Mellanox Technologies MT27500 Family [ConnectX-3]|citg-grs;general|avx;avx2;ht;ib;ssd
grs2|2 x Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz|8|16|3499.804|251.633 GB|181G|RHEV|N/A|0|Yes|01:00.0 Ethernet controller: Intel Corporation I350 Gigabit Network Connection (rev 01) 01:00.1 Ethernet controller: Intel Corporation I350 Gigabit Network Connection (rev 01) 03:00.0 Network controller: Mellanox Technologies MT27500 Family [ConnectX-3]|citg-grs;general|avx;avx2;ht;ib;ssd
grs3|2 x Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz|8|16|3499.804|251.633 GB|181G|OpenShift Enterprise|N/A|0|Yes|01:00.0 Ethernet controller: Intel Corporation I350 Gigabit Network Connection (rev 01) 01:00.1 Ethernet controller: Intel Corporation I350 Gigabit Network Connection (rev 01) 03:00.0 Network controller: Mellanox Technologies MT27500 Family [ConnectX-3]|citg-grs;general|avx;avx2;ht;ib;ssd
grs4|2 x Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz|8|16|3500|251.633 GB|181G|OpenShift Enterprise|N/A|0|Yes|01:00.0 Ethernet controller: Intel Corporation I350 Gigabit Network Connection (rev 01) 01:00.1 Ethernet controller: Intel Corporation I350 Gigabit Network Connection (rev 01) 03:00.0 Network controller: Mellanox Technologies MT27500 Family [ConnectX-3]|citg-grs;general|avx;avx2;ht;ib;ssd
influ1|2 x Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz|16|32|2320.971|376.391 GB|197G|CentOS Linux 7 (Core)|NVIDIA GeForce RTX 2080 Ti|8|No|61:00.0 Ethernet controller: Intel Corporation Ethernet Connection X722 for 10GBASE-T (rev 09) 61:00.1 Ethernet controller: Intel Corporation Ethernet Connection X722 for 10GBASE-T (rev 09)|influence;ewi-insy;general|avx;avx2;ht;10gbe;avx512;nvme;ssd
influ2|2 x Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz|16|32|2300|187.232 GB|369G|CentOS Linux 7 (Core)|NVIDIA GeForce RTX 2080 Ti|4|No|18:00.0 Ethernet controller: Broadcom Inc. and subsidiaries BCM57416 NetXtreme-E Dual-Media 10G RDMA Ethernet Controller (rev 01) 18:00.1 Ethernet controller: Broadcom Inc. and subsidiaries BCM57416 NetXtreme-E Dual-Media 10G RDMA Ethernet Controller (rev 01)|influence;ewi-insy;general|avx;avx2;ht;10gbe;avx512;ssd
influ3|2 x Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz|16|32|2300|187.232 GB|369G|CentOS Linux 7 (Core)|NVIDIA GeForce RTX 2080 Ti|4|No|18:00.0 Ethernet controller: Broadcom Inc. and subsidiaries BCM57416 NetXtreme-E Dual-Media 10G RDMA Ethernet Controller (rev 01) 18:00.1 Ethernet controller: Broadcom Inc. and subsidiaries BCM57416 NetXtreme-E Dual-Media 10G RDMA Ethernet Controller (rev 01)|influence;ewi-insy;general|avx;avx2;ht;10gbe;avx512;ssd
influ4|2 x AMD EPYC 7452 32-Core Processor|32|64|2350|251.626 GB|148G|CentOS Linux 7 (Core)|N/A|0|No|64:00.0 Ethernet controller: Intel Corporation Ethernet Controller 10G X550T (rev 01) 64:00.1 Ethernet controller: Intel Corporation Ethernet Controller 10G X550T (rev 01)|influence;ewi-insy;general|avx;avx2;ht;10gbe;ssd
influ5|2 x AMD EPYC 7452 32-Core Processor|32|64|2350|503.61 GB|148G|CentOS Linux 7 (Core)|N/A|0|No|64:00.0 Ethernet controller: Intel Corporation Ethernet Controller 10G X550T (rev 01) 64:00.1 Ethernet controller: Intel Corporation Ethernet Controller 10G X550T (rev 01)|influence;ewi-insy;general|avx;avx2;ht;10gbe;bigmem;ssd
influ6|2 x AMD EPYC 7452 32-Core Processor|32|64|2350|503.61 GB|148G|CentOS Linux 7 (Core)|N/A|0|No|64:00.0 Ethernet controller: Intel Corporation Ethernet Controller 10G X550T (rev 01) 64:00.1 Ethernet controller: Intel Corporation Ethernet Controller 10G X550T (rev 01)|influence;ewi-insy;general|avx;avx2;ht;10gbe;bigmem;ssd
insy15|2 x Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz|16|32|2300|754.33 GB|416G|Red Hat Enterprise Linux|NVIDIA GeForce RTX 2080 Ti|4|No|18:00.0 Ethernet controller: Broadcom Inc. and subsidiaries BCM57416 NetXtreme-E Dual-Media 10G RDMA Ethernet Controller (rev 01) 18:00.1 Ethernet controller: Broadcom Inc. and subsidiaries BCM57416 NetXtreme-E Dual-Media 10G RDMA Ethernet Controller (rev 01)|ewi-insy;general|avx;avx2;ht;10gbe;avx512;bigmem;ssd
insy16|2 x Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz|16|32|2300|754.33 GB|416G|Red Hat Enterprise Linux|NVIDIA GeForce RTX 2080 Ti|4|No|18:00.0 Ethernet controller: Broadcom Inc. and subsidiaries BCM57416 NetXtreme-E Dual-Media 10G RDMA Ethernet Controller (rev 01) 18:00.1 Ethernet controller: Broadcom Inc. and subsidiaries BCM57416 NetXtreme-E Dual-Media 10G RDMA Ethernet Controller (rev 01)|ewi-insy;general|avx;avx2;ht;10gbe;avx512;bigmem;ssd
